##########################################################################################
############################# Effectiveness Evaluation for 9 #############################
##########################################################################################

Evaluation Measures:
MAP: 0.01
MRR: 0.01
--------------------------------------------------------------------------------

QueryID: Q1
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
Q1         CACM-3168         1         N         0.00         0.000000
Q1         CACM-3168         2         N         0.00         0.000000
Q1         CACM-3169         3         N         0.00         0.000000
Q1         CACM-3169         4         N         0.00         0.000000
Q1         CACM-3170         5         N         0.00         0.000000
Q1         CACM-3171         6         N         0.00         0.000000
Q1         CACM-3171         7         N         0.00         0.000000
Q1         CACM-3172         8         N         0.00         0.000000
Q1         CACM-3173         9         N         0.00         0.000000
Q1         CACM-3174         10        N         0.00         0.000000
Q1         CACM-3174         11        N         0.00         0.000000
Q1         CACM-3175         12        N         0.00         0.000000
Q1         CACM-3176         13        N         0.00         0.000000
Q1         CACM-3176         14        N         0.00         0.000000
Q1         CACM-3177         15        N         0.00         0.000000
Q1         CACM-3179         16        N         0.00         0.000000
Q1         CACM-3179         17        N         0.00         0.000000
Q1         CACM-3180         18        N         0.00         0.000000
Q1         CACM-3181         19        N         0.00         0.000000
Q1         CACM-3182         20        N         0.00         0.000000
Q1         CACM-3182         21        N         0.00         0.000000
Q1         CACM-3183         22        N         0.00         0.000000
Q1         CACM-3184         23        N         0.00         0.000000
Q1         CACM-3184         24        N         0.00         0.000000
Q1         CACM-3185         25        N         0.00         0.000000
Q1         CACM-3187         26        N         0.00         0.000000
Q1         CACM-3189         27        N         0.00         0.000000
Q1         CACM-3189         28        N         0.00         0.000000
Q1         CACM-3190         29        N         0.00         0.000000
Q1         CACM-3191         30        N         0.00         0.000000
Q1         CACM-3192         31        N         0.00         0.000000
Q1         CACM-3192         32        N         0.00         0.000000
Q1         CACM-3193         33        N         0.00         0.000000
Q1         CACM-3194         34        N         0.00         0.000000
Q1         CACM-3195         35        N         0.00         0.000000
Q1         CACM-3196         36        N         0.00         0.000000
Q1         CACM-3197         37        N         0.00         0.000000
Q1         CACM-3198         38        N         0.00         0.000000
Q1         CACM-3198         39        N         0.00         0.000000
Q1         CACM-3199         40        N         0.00         0.000000
Q1         CACM-3200         41        N         0.00         0.000000
Q1         CACM-3200         42        N         0.00         0.000000
Q1         CACM-3201         43        N         0.00         0.000000
Q1         CACM-3202         44        N         0.00         0.000000
Q1         CACM-3202         45        N         0.00         0.000000
Q1         CACM-3203         46        N         0.00         0.000000
Q1         CACM-3203         47        N         0.00         0.000000
Q1         CACM-3204         48        N         0.00         0.000000
Q1         CACM-3204         49        N         0.00         0.000000
Q1         CACM-3204         50        N         0.00         0.000000
Q1         CACM-3153         51        N         0.00         0.000000
Q1         CACM-3153         52        N         0.00         0.000000
Q1         CACM-3153         53        N         0.00         0.000000
Q1         CACM-3154         54        N         0.00         0.000000
Q1         CACM-3154         55        N         0.00         0.000000
Q1         CACM-3156         56        N         0.00         0.000000
Q1         CACM-3156         57        N         0.00         0.000000
Q1         CACM-3157         58        N         0.00         0.000000
Q1         CACM-3158         59        N         0.00         0.000000
Q1         CACM-3158         60        N         0.00         0.000000
Q1         CACM-3160         61        N         0.00         0.000000
Q1         CACM-3160         62        N         0.00         0.000000
Q1         CACM-3161         63        N         0.00         0.000000
Q1         CACM-3162         64        N         0.00         0.000000
Q1         CACM-3163         65        N         0.00         0.000000
Q1         CACM-3163         66        N         0.00         0.000000
Q1         CACM-3163         67        N         0.00         0.000000
Q1         CACM-3164         68        N         0.00         0.000000
Q1         CACM-3164         69        N         0.00         0.000000
Q1         CACM-3165         70        N         0.00         0.000000
Q1         CACM-3165         71        N         0.00         0.000000
Q1         CACM-3166         72        N         0.00         0.000000
Q1         CACM-3166         73        N         0.00         0.000000
Q1         CACM-3167         74        N         0.00         0.000000
Q1         CACM-3167         75        N         0.00         0.000000
Q1         CACM-3145         76        N         0.00         0.000000
Q1         CACM-3146         77        N         0.00         0.000000
Q1         CACM-3147         78        N         0.00         0.000000
Q1         CACM-3147         79        N         0.00         0.000000
Q1         CACM-3147         80        N         0.00         0.000000
Q1         CACM-3148         81        N         0.00         0.000000
Q1         CACM-3148         82        N         0.00         0.000000
Q1         CACM-3149         83        N         0.00         0.000000
Q1         CACM-3149         84        N         0.00         0.000000
Q1         CACM-3150         85        N         0.00         0.000000
Q1         CACM-3150         86        N         0.00         0.000000
